widht=15
height=15
Background=182
178,230,179,230,230,179,230,230,230,230,230,230,179,230,180,
229,1,229,48,14,229,14,14,14,14,46,14,229,48,229,
229,14,229,14,14,229,14,14,14,216,14,14,229,14,229,
229,14,229,14,14,215,14,14,14,229,14,14,229,14,229,
229,91,229,14,14,14,14,14,48,229,14,14,229,14,229,
229,14,195,230,230,230,230,179,230,214,14,14,229,14,229,
229,14,229,48,14,14,14,229,14,14,14,232,214,14,229,
229,14,229,14,14,14,1,229,14,14,14,14,14,14,229,
229,14,212,233,14,232,230,196,230,230,230,233,14,231,229,
229,28,14,14,14,14,14,229,1,14,14,14,14,14,229,
229,14,14,216,14,14,14,212,230,230,230,230,180,14,229,
229,14,232,196,233,14,14,14,14,14,14,1,229,14,229,
229,14,1,215,14,14,14,14,14,232,230,230,214,14,229,
229,14,14,14,14,14,14,14,14,14,14,14,14,48,229,
212,230,230,230,230,230,230,230,230,230,230,230,230,230,214
